image_name,n_ai,n_manual
1.1_1sec-frame0,196,179
10.1.A_1sec-frame0,308,291
100.1.A_1sec-frame0,633,657
11.1.A_1sec-frame0,291,268
12.1.A_1sec-frame0,100,69
13.1.A_1sec-frame0,81,57
14.1.A_1sec-frame0,177,161
15.1.A_1sec-frame0,556,549
16.1.A_1sec-frame0,242,217
17.1.A_1sec-frame0,1031,1169
18.1.A_1sec-frame0,84,71
19.1.A_1sec-frame0,430,429
2.1.A_1sec-frame0,316,293
20.1.A_1sec-frame0,405,393
21.1.A_1sec-frame0,646,654
22.1.A_1sec-frame0,395,345
23.1.A_1sec-frame0,432,441
24.1.A_1sec-frame0,642,632
25.1.A_1sec-frame0,939,1036
26.1.A_1sec-frame0,401,397
27.1.A_1sec-frame0,560,549
28.1.A_1sec-frame0,156,152
29.1.A_1sec-frame0,403,370
3.1.A_1sec-frame0,814,854
30.1.A_1sec-frame0,36,30
31.1.A_1sec-frame0,654,664
32.1.A_1sec-frame0,550,565
33.1.A_1sec-frame0,572,576
34.1.A_1sec-frame0,281,236
35.1.A_1sec-frame0,362,317
36.1.A_1sec-frame0,266,270
37.1.A_1sec-frame0,423,442
38.1.A_1sec-frame0,280,271
39.1.A_1sec-frame0,80,70
4.1.A_1sec-frame0,701,717
40.1.A_1sec-frame0,401,401
41.1.A_1sec-frame0,264,257
42.1.A_1sec-frame0,144,126
43.1.A_1sec-frame0,515,516
44.1.A_1sec-frame0,356,271
45.1.A_1sec-frame0,183,171
46.1.A_1sec-frame0,473,436
47.1.A_1sec-frame0,937,929
48.1.A_1sec-frame0,257,231
49.1.A_1sec-frame0,140,124
5.1.A_1sec-frame0,672,611
50.1.A_1sec-frame0,947,974
51.1.A_1sec-frame0,519,495
52.1.A_1sec-frame0,286,294
53.1.A_1sec-frame0,1023,1154
54.1.A_1sec-frame0,434,388
55.1.A_1sec-frame0,86,79
56.1.A_1sec-frame0,110,90
57.1.A_1sec-frame0,331,330
58.1.A_1sec-frame0,425,444
59.1.A_1sec-frame0,76,74
6.1.A_1sec-frame0,526,537
60.1.A_1sec-frame0,386,336
61.1.A_1sec-frame0,116,73
62.1.A_1sec-frame0,96,65
63.1.A_1sec-frame0,1071,1155
64.1.A_1sec-frame0,173,180
65.1.A_1sec-frame0,501,504
66.1.A_1sec-frame0,157,159
67.1.A_1sec-frame0,242,208
68.1.A_1sec-frame0,159,137
69.1.A_1sec-frame0,675,738
7.1.A_1sec-frame0,309,317
70.1.A_1sec-frame0,144,144
71.1.A_1sec-frame0,357,359
72.1.A_1sec-frame0,131,121
73.1.A_1sec-frame0,361,370
74.1.A_1sec-frame0,296,280
75.1.A_1sec-frame0,204,168
76.1.A_1sec-frame0,96,89
77.1.A_1sec-frame0,604,647
78.1.A_1sec-frame0,510,519
79.1.A_1sec-frame0,748,815
8.1.A_1sec-frame0,325,338
80.1.A_1sec-frame0,498,507
81.1.A_1sec-frame0,122,82
82.1.A_1sec-frame0,256,156
83.1.A_1sec-frame0,1007,963
84.1.A_1sec-frame0,357,296
85.1.A_1sec-frame0,348,315
86.1.A_1sec-frame0,279,232
87.1.A_1sec-frame0,744,755
88.1.A_1sec-frame0,354,342
89.1.A_1sec-frame0,135,108
9.1.A_1sec-frame0,265,256
90.1.A_1sec-frame0,651,740
91.1.A_1sec-frame0,704,740
92.1.A_1sec-frame0,728,648
93.1.A_1sec-frame0,370,398
94.1.A_1sec-frame0,336,355
95.1.A_1sec-frame0,1005,932
96.1.A_1sec-frame0,245,236
97.1.A_1sec-frame0,145,131
98.1.A_1sec-frame0,1059,1022
99.1.A_1sec-frame0,255,264
