frame,n_ai,n_man,count_diff,tp,fp,fn,precision,recall,f1,mean_iou
1.1_1sec-frame0,196,179,17,160,36,19,0.8163265306122449,0.8938547486033519,0.8533333333333333,0.9712048979933432
10.1.A_1sec-frame0,308,291,17,259,49,32,0.8409090909090909,0.8900343642611683,0.8647746243739567,0.9602037822631284
100.1.A_1sec-frame0,633,657,-24,551,82,106,0.8704581358609794,0.8386605783866058,0.8542635658914728,0.9738604964373081
11.1.A_1sec-frame0,291,268,23,222,69,46,0.7628865979381443,0.8283582089552238,0.7942754919499105,0.9623272946377088
12.1.A_1sec-frame0,100,69,31,65,35,4,0.65,0.9420289855072463,0.7692307692307692,0.9828109347221632
13.1.A_1sec-frame0,81,57,24,53,28,4,0.654320987654321,0.9298245614035088,0.7681159420289856,0.9688246198099869
14.1.A_1sec-frame0,177,161,16,145,32,16,0.8192090395480226,0.9006211180124224,0.8579881656804734,0.9615456399982738
15.1.A_1sec-frame0,556,549,7,481,75,68,0.8651079136690647,0.8761384335154827,0.8705882352941177,0.9734572036417859
16.1.A_1sec-frame0,242,217,25,199,43,18,0.8223140495867769,0.9170506912442397,0.8671023965141612,0.977237165502529
17.1.A_1sec-frame0,1031,1169,-138,849,182,320,0.8234723569350145,0.7262617621899059,0.7718181818181817,0.9760337339189707
18.1.A_1sec-frame0,84,71,13,60,24,11,0.7142857142857143,0.8450704225352113,0.7741935483870968,0.9458518256826908
19.1.A_1sec-frame0,430,429,1,364,66,65,0.8465116279069768,0.8484848484848485,0.8474970896391153,0.9636569687541127
2.1.A_1sec-frame0,316,293,23,264,52,29,0.8354430379746836,0.9010238907849829,0.8669950738916256,0.981413422164068
20.1.A_1sec-frame0,405,393,12,337,68,56,0.8320987654320988,0.8575063613231552,0.844611528822055,0.9801359276711639
21.1.A_1sec-frame0,646,654,-8,575,71,79,0.8900928792569659,0.8792048929663608,0.8846153846153846,0.9758626279870103
22.1.A_1sec-frame0,395,345,50,310,85,35,0.7848101265822784,0.8985507246376812,0.8378378378378378,0.9805542633223163
23.1.A_1sec-frame0,432,441,-9,393,39,48,0.9097222222222222,0.891156462585034,0.9003436426116839,0.976031062891215
24.1.A_1sec-frame0,642,632,10,552,90,80,0.8598130841121495,0.8734177215189873,0.8665620094191523,0.987979081835683
25.1.A_1sec-frame0,939,1036,-97,812,127,224,0.8647497337593184,0.7837837837837838,0.8222784810126582,0.9777559760612031
26.1.A_1sec-frame0,401,397,4,348,53,49,0.8678304239401496,0.8765743073047859,0.8721804511278195,0.9794217622418709
27.1.A_1sec-frame0,560,549,11,482,78,67,0.8607142857142858,0.8779599271402551,0.8692515779981966,0.9634783481870957
28.1.A_1sec-frame0,156,152,4,124,32,28,0.7948717948717948,0.8157894736842105,0.8051948051948051,0.964207640657583
29.1.A_1sec-frame0,403,370,33,333,70,37,0.826302729528536,0.9,0.8615782664941785,0.9703468043012176
3.1.A_1sec-frame0,814,854,-40,664,150,190,0.8157248157248157,0.7775175644028103,0.7961630695443646,0.9589056955133247
30.1.A_1sec-frame0,36,30,6,25,11,5,0.6944444444444444,0.8333333333333334,0.7575757575757577,0.9789546959384239
31.1.A_1sec-frame0,654,664,-10,536,118,128,0.8195718654434251,0.8072289156626506,0.8133535660091047,0.9748922311169664
32.1.A_1sec-frame0,550,565,-15,490,60,75,0.8909090909090909,0.8672566371681416,0.8789237668161435,0.9670247137818773
33.1.A_1sec-frame0,572,576,-4,471,101,105,0.8234265734265734,0.8177083333333334,0.8205574912891986,0.9421238530518985
34.1.A_1sec-frame0,281,236,45,200,81,36,0.7117437722419929,0.847457627118644,0.7736943907156674,0.9529143159289751
35.1.A_1sec-frame0,362,317,45,284,78,33,0.7845303867403315,0.8958990536277602,0.8365243004418262,0.9636480450593169
36.1.A_1sec-frame0,266,270,-4,233,33,37,0.8759398496240601,0.8629629629629629,0.8694029850746269,0.9641697356239877
37.1.A_1sec-frame0,423,442,-19,355,68,87,0.8392434988179669,0.8031674208144797,0.8208092485549133,0.9579606295115906
38.1.A_1sec-frame0,280,271,9,237,43,34,0.8464285714285714,0.8745387453874539,0.8602540834845736,0.9745849161150024
39.1.A_1sec-frame0,80,70,10,66,14,4,0.825,0.9428571428571428,0.88,0.9443115904598237
4.1.A_1sec-frame0,701,717,-16,547,154,170,0.7803138373751783,0.7629009762900977,0.7715091678420312,0.9593184148876343
40.1.A_1sec-frame0,401,401,0,356,45,45,0.8877805486284289,0.8877805486284289,0.8877805486284289,0.9686597469763066
41.1.A_1sec-frame0,264,257,7,230,34,27,0.8712121212121212,0.8949416342412452,0.8829174664107485,0.9752201407224782
42.1.A_1sec-frame0,144,126,18,115,29,11,0.7986111111111112,0.9126984126984127,0.8518518518518519,0.9768346722647054
43.1.A_1sec-frame0,515,516,-1,460,55,56,0.8932038834951457,0.8914728682170543,0.8923375363724539,0.9711885584297778
44.1.A_1sec-frame0,356,271,85,241,115,30,0.6769662921348315,0.8892988929889298,0.7687400318979267,0.9504585516393323
45.1.A_1sec-frame0,183,171,12,145,38,26,0.7923497267759563,0.847953216374269,0.8192090395480227,0.963635600793796
46.1.A_1sec-frame0,473,436,37,388,85,48,0.8202959830866807,0.8899082568807339,0.8536853685368537,0.9699995109229963
47.1.A_1sec-frame0,937,929,8,775,162,154,0.8271077908217717,0.8342303552206674,0.8306538049303323,0.970266067612492
48.1.A_1sec-frame0,257,231,26,211,46,20,0.8210116731517509,0.9134199134199135,0.8647540983606558,0.9678928013413746
49.1.A_1sec-frame0,140,124,16,109,31,15,0.7785714285714286,0.8790322580645161,0.8257575757575758,0.9622711945004747
5.1.A_1sec-frame0,672,611,61,519,153,92,0.7723214285714286,0.8494271685761048,0.809041309431021,0.9680136500197047
50.1.A_1sec-frame0,947,974,-27,784,163,190,0.8278775079197466,0.8049281314168378,0.8162415408641334,0.9729131534193045
51.1.A_1sec-frame0,519,495,24,437,82,58,0.8420038535645472,0.8828282828282829,0.8619329388560159,0.9639963522823024
52.1.A_1sec-frame0,286,294,-8,255,31,39,0.8916083916083916,0.8673469387755102,0.8793103448275861,0.9848221642565571
53.1.A_1sec-frame0,1023,1154,-131,752,271,402,0.7350928641251222,0.6516464471403813,0.6908589802480478,0.9700466475152086
54.1.A_1sec-frame0,434,388,46,343,91,45,0.7903225806451613,0.884020618556701,0.8345498783454988,0.9639025339717784
55.1.A_1sec-frame0,86,79,7,67,19,12,0.7790697674418605,0.8481012658227848,0.812121212121212,0.9753399881649626
56.1.A_1sec-frame0,110,90,20,81,29,9,0.7363636363636363,0.9,0.81,0.9369620996532327
57.1.A_1sec-frame0,331,330,1,291,40,39,0.879154078549849,0.8818181818181818,0.880484114977307,0.9761845137263716
58.1.A_1sec-frame0,425,444,-19,368,57,76,0.8658823529411764,0.8288288288288288,0.8469505178365938,0.9743362843052895
59.1.A_1sec-frame0,76,74,2,60,16,14,0.7894736842105263,0.8108108108108109,0.8,0.968797726863957
6.1.A_1sec-frame0,526,537,-11,454,72,83,0.8631178707224335,0.845437616387337,0.8541862652869238,0.9777760180937335
60.1.A_1sec-frame0,386,336,50,295,91,41,0.7642487046632125,0.8779761904761905,0.817174515235457,0.9495359901319558
61.1.A_1sec-frame0,116,73,43,53,63,20,0.45689655172413796,0.726027397260274,0.5608465608465609,0.8662271264301815
62.1.A_1sec-frame0,96,65,31,56,40,9,0.5833333333333334,0.8615384615384616,0.6956521739130436,0.9864039332080559
63.1.A_1sec-frame0,1071,1155,-84,892,179,263,0.8328664799253035,0.7722943722943723,0.8014375561545373,0.9802717924908424
64.1.A_1sec-frame0,173,180,-7,152,21,28,0.8786127167630058,0.8444444444444444,0.8611898016997166,0.9826843604486479
65.1.A_1sec-frame0,501,504,-3,432,69,72,0.8622754491017964,0.8571428571428571,0.8597014925373134,0.9752789231228699
66.1.A_1sec-frame0,157,159,-2,135,22,24,0.8598726114649682,0.8490566037735849,0.8544303797468354,0.9857094558819169
67.1.A_1sec-frame0,242,208,34,189,53,19,0.78099173553719,0.9086538461538461,0.8399999999999999,0.9658536154150331
68.1.A_1sec-frame0,159,137,22,124,35,13,0.779874213836478,0.9051094890510949,0.8378378378378378,0.9678297909907824
69.1.A_1sec-frame0,675,738,-63,588,87,150,0.8711111111111111,0.7967479674796748,0.8322717622080679,0.9687131902298125
7.1.A_1sec-frame0,309,317,-8,288,21,29,0.9320388349514563,0.9085173501577287,0.9201277955271565,0.9735994951466491
70.1.A_1sec-frame0,144,144,0,123,21,21,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.9776477305483631
71.1.A_1sec-frame0,357,359,-2,303,54,56,0.8487394957983193,0.8440111420612814,0.846368715083799,0.961799172603608
72.1.A_1sec-frame0,131,121,10,112,19,9,0.8549618320610687,0.9256198347107438,0.8888888888888888,0.9513657530839431
73.1.A_1sec-frame0,361,370,-9,278,83,92,0.7700831024930748,0.7513513513513513,0.7606019151846785,0.9553219504351883
74.1.A_1sec-frame0,296,280,16,238,58,42,0.8040540540540541,0.85,0.8263888888888888,0.9774458600580422
75.1.A_1sec-frame0,204,168,36,131,73,37,0.6421568627450981,0.7797619047619048,0.7043010752688171,0.9466425656324059
76.1.A_1sec-frame0,96,89,7,71,25,18,0.7395833333333334,0.797752808988764,0.7675675675675675,0.9772710262816358
77.1.A_1sec-frame0,604,647,-43,528,76,119,0.8741721854304636,0.8160741885625966,0.8441247002398081,0.9697343882707807
78.1.A_1sec-frame0,510,519,-9,455,55,64,0.8921568627450981,0.8766859344894027,0.8843537414965986,0.974897838407401
79.1.A_1sec-frame0,748,815,-67,660,88,155,0.8823529411764706,0.8098159509202454,0.8445297504798465,0.9751476161195863
8.1.A_1sec-frame0,325,338,-13,298,27,40,0.916923076923077,0.8816568047337278,0.8989441930618401,0.9713254172864564
80.1.A_1sec-frame0,498,507,-9,443,55,64,0.8895582329317269,0.873767258382643,0.881592039800995,0.9777800117644512
81.1.A_1sec-frame0,122,82,40,74,48,8,0.6065573770491803,0.9024390243902439,0.7254901960784315,0.9612683130279883
82.1.A_1sec-frame0,256,156,100,147,109,9,0.57421875,0.9423076923076923,0.7135922330097088,0.9886712624029017
83.1.A_1sec-frame0,1007,963,44,880,127,83,0.8738828202581926,0.9138110072689511,0.8934010152284265,0.9828806614745509
84.1.A_1sec-frame0,357,296,61,257,100,39,0.7198879551820728,0.8682432432432432,0.787136294027565,0.9755987568999884
85.1.A_1sec-frame0,348,315,33,253,95,62,0.7270114942528736,0.8031746031746032,0.7631975867269984,0.9671244569942864
86.1.A_1sec-frame0,279,232,47,214,65,18,0.7670250896057348,0.9224137931034483,0.837573385518591,0.979914800573973
87.1.A_1sec-frame0,744,755,-11,652,92,103,0.8763440860215054,0.8635761589403973,0.8699132755170114,0.9772603320238279
88.1.A_1sec-frame0,354,342,12,285,69,57,0.8050847457627118,0.8333333333333334,0.8189655172413792,0.9710221745299941
89.1.A_1sec-frame0,135,108,27,101,34,7,0.7481481481481481,0.9351851851851852,0.831275720164609,0.9821948810365243
9.1.A_1sec-frame0,265,256,9,217,48,39,0.8188679245283019,0.84765625,0.8330134357005757,0.9558609046989514
90.1.A_1sec-frame0,651,740,-89,607,44,133,0.9324116743471582,0.8202702702702702,0.8727534148094895,0.9769764547159687
91.1.A_1sec-frame0,704,740,-36,601,103,139,0.8536931818181818,0.8121621621621622,0.832409972299169,0.9796818245743584
92.1.A_1sec-frame0,728,648,80,624,104,24,0.8571428571428571,0.9629629629629629,0.9069767441860465,0.988964620036084
93.1.A_1sec-frame0,370,398,-28,334,36,64,0.9027027027027027,0.8391959798994975,0.8697916666666667,0.9879481220960895
94.1.A_1sec-frame0,336,355,-19,303,33,52,0.9017857142857143,0.8535211267605634,0.8769898697539799,0.9862044027410555
95.1.A_1sec-frame0,1005,932,73,925,80,7,0.9203980099502488,0.9924892703862661,0.9550851832731028,0.998225083608902
96.1.A_1sec-frame0,245,236,9,228,17,8,0.9306122448979591,0.9661016949152542,0.948024948024948,0.9906296092953489
97.1.A_1sec-frame0,145,131,14,122,23,9,0.8413793103448276,0.9312977099236641,0.8840579710144928,0.9965146495282725
98.1.A_1sec-frame0,1059,1022,37,992,67,30,0.9367327667610954,0.9706457925636007,0.9533877943296493,0.9945634357124313
99.1.A_1sec-frame0,255,264,-9,234,21,30,0.9176470588235294,0.8863636363636364,0.9017341040462428,0.9875541108842905
